timestamp,station,borough,ridership,transfers,hour
2026-04-01 01:00:00,181 St (1),Manhattan,3,0,1
2026-04-01 01:00:00,"59 St (N,R)",Brooklyn,1,0,1
2026-04-01 01:00:00,145 St (3),Manhattan,1,0,1
2026-04-01 01:00:00,Vernon Blvd-Jackson Av (7),Queens,2,0,1
2026-04-01 01:00:00,Avenue U (Q),Brooklyn,2,0,1
2026-04-01 01:00:00,Middle Village-Metropolitan Av (M),Queens,2,0,1
2026-04-01 01:00:00,"Rockaway Park-Beach 116 St (A,S)",Queens,5,1,1
2026-04-01 01:00:00,Avenue P (F),Brooklyn,1,0,1
2026-04-01 01:00:00,"Briarwood (E,F)",Queens,1,0,1
2026-04-01 01:00:00,Cypress Av (6),Bronx,3,0,1
2026-04-01 01:00:00,116 St (6),Manhattan,2,0,1
2026-04-01 01:00:00,"Times Sq-42 St/Port Authority Bus Terminal (1,2,3,7,A,C,E,N,Q,R,W,S)",Manhattan,10,0,1
2026-04-01 01:00:00,111 St (J),Queens,1,0,1
2026-04-01 01:00:00,Fresh Pond Rd (M),Queens,1,0,1
2026-04-01 01:00:00,"Kingsbridge Rd (B,D)",Bronx,8,0,1
2026-04-01 01:00:00,Jamaica-179 St (F),Queens,1,0,1
2026-04-01 01:00:00,Jamaica-Van Wyck (E),Queens,3,0,1
2026-04-01 01:00:00,Middletown Rd (6),Bronx,1,0,1
2026-04-01 01:00:00,18 St (1),Manhattan,14,0,1
2026-04-01 01:00:00,Christopher St-Stonewall (1),Manhattan,3,0,1
2026-04-01 01:00:00,WTC Cortlandt (1),Manhattan,1,0,1
2026-04-01 01:00:00,"Flatbush Av-Brooklyn College (2,5)",Brooklyn,2,1,1
2026-04-01 01:00:00,Hunts Point Av (6),Bronx,1,0,1
2026-04-01 01:00:00,"174 St (2,5)",Bronx,1,1,1
2026-04-01 01:00:00,Harlem-148 St (3),Manhattan,4,0,1
2026-04-01 01:00:00,"42 St-Bryant Pk/5 Av (7,B,D,F,M)",Manhattan,5,0,1
2026-04-01 01:00:00,8 Av (N),Brooklyn,1,0,1
2026-04-01 01:00:00,"50 St (C,E)",Manhattan,1,0,1
2026-04-01 01:00:00,"Euclid Av (A,C)",Brooklyn,7,0,1
2026-04-01 01:00:00,167 St (4),Bronx,1,0,1
2026-04-01 01:00:00,Morris Park (5),Bronx,1,0,1
